geneid	P1vsN1	P2vsN2	P3vsN3
WBGene00021019	-1.115934025	-2.33E-06	0.015934042
WBGene00016558	-1.479099229	-7.31E-06	-0.313085023
WBGene00009180	-1.041970132	-5.92E-06	0.09462193
WBGene00000114	-0.794640978	-1.19E-05	0.159903351
WBGene00006944	-1.03271218	1.43E-05	0.080938047
WBGene00000114	-0.915270151	-5.07E-06	0.178717973
WBGene00014143	-1.624467231	-4.52E-06	-0.141331254
WBGene00004185	-1.11228783	-1.63E-06	-0.004369828
WBGene00011304	-1.11228783	-1.63E-06	-0.004369828
WBGene00005825	-1.004521101	1.10E-05	0.100505208
WBGene00271567	-1.297786895	-2.26E-06	0.056491155
WBGene00012139	-1.297786895	-2.26E-06	0.056491155
WBGene00009180	-1.139609662	-2.66E-06	0.078508034
WBGene00009692	-1.236308917	-1.066672369	0.035619247
WBGene00009691	-1.236308917	-1.066672369	0.035619247
WBGene00022865	-1.428346942	-0.903836722	0.029552108
WBGene00012813	-1.466694524	-6.04E-06	0.039464286
WBGene00006603	-1.078863617	-6.80E-06	0.029938785
WBGene00009772	-0.755527047	1.06E-05	0.295851882
WBGene00004185	-1.005487798	-4.62E-06	0.213914106
WBGene00011304	-0.996012986	-5.79E-06	0.046164367
WBGene00002273	-1.1410298	-1.00E-05	0.080168483
WBGene00020910	-1.1410298	-1.00E-05	0.080168483
WBGene00016250	-1.283140255	-0.768776101	0.034285373
WBGene00016943	-1.50018005	3.29E-06	0.021057794
WBGene00016942	-1.50018005	3.29E-06	0.021057794
WBGene00001439	-0.72961379	4.26E-07	0.307739442
WBGene00045074	-0.887270211	-7.32E-06	0.029499214
WBGene00011304	-0.887270211	-7.32E-06	0.029499214
WBGene00008943	-1.411655315	-1.68E-05	0.023824983
WBGene00008944	-1.411655315	-1.68E-05	0.023824983
WBGene00004185	-0.81882769	-2.62E-07	0.043133467
WBGene00011304	-0.81882769	-2.62E-07	0.043133467
WBGene00002010	-1.080860228	-1.55E-05	0.028460717
WBGene00006927	-1.203934762	-3.09E-06	0.100417039
WBGene00004804	-0.884624633	-8.20E-06	-0.004143249
WBGene00020585	-0.884624633	-8.20E-06	-0.004143249
WBGene00000247	-1.102877797	-1.27E-05	-0.055465882
WBGene00022938	-0.984511478	-9.22E-06	-0.117872809
WBGene00022939	-0.984511478	-9.22E-06	-0.117872809
WBGene00000833	-0.837247062	-4.18E-06	-0.019972619
WBGene00000549	-0.92704352	-2.40E-05	0.092623279
WBGene00011300	-0.92704352	-2.40E-05	0.092623279
WBGene00012608	-0.995405937	-1.69E-07	0.00771109
WBGene00018138	-1.088078104	6.09E-06	-0.011652427
WBGene00013883	-0.786874068	-5.01E-06	-0.147845758
WBGene00017631	-1.007014787	-7.16E-06	-0.282575865
WBGene00011300	-1.231463014	-1.02E-05	0.037074786
WBGene00003385	-0.94092824	3.11E-06	0.044447014
WBGene00001500	-0.924275323	1.53E-05	0.039441738
WBGene00022276	-1.111441875	-8.11E-06	0.061866287
WBGene00022277	-1.111441875	-8.11E-06	0.061866287
WBGene00004336	-0.973877446	-3.44E-06	0.028562544
WBGene00022276	-0.972848323	-1.91E-05	-0.101058207
WBGene00001993	-0.956375271	-4.99E-06	0.004096299
WBGene00006928	-1.164407103	-7.32E-06	0.076837579
WBGene00013111	-0.734097063	3.05E-06	0.090119451
WBGene00011304	-0.716301052	-5.05E-06	0.167502266
WBGene00020596	-0.987777573	-6.78E-06	0.08675825
WBGene00019721	-1.110757402	1.35E-06	0.063993257
WBGene00019719	-1.110757402	1.35E-06	0.063993257
WBGene00016274	-1.150850234	7.37E-06	0.057412392
WBGene00000973	-0.938626478	-1.39E-06	0.09272138
WBGene00012293	-0.880975223	9.27E-06	0.107541332
WBGene00011868	-0.990713277	-3.89E-06	-0.070222203
WBGene00009772	-0.871078067	6.81E-06	0.204870805
WBGene00001031	-0.919986725	-1.61E-05	0.047840767
WBGene00010053	-0.919986725	-1.61E-05	0.047840767
WBGene00002010	-0.889883512	-1.23E-05	0.02180275
WBGene00002055	-0.800554539	-6.11E-06	0.003942616
WBGene00006104	-0.800554539	-6.11E-06	0.003942616
WBGene00020031	-1.078480427	3.61E-06	0.068783276
WBGene00020030	-1.078480427	3.61E-06	0.068783276
WBGene00022010	-1.149983271	-4.16E-07	0.057626555
WBGene00015623	-1.142804267	8.71E-06	0.039584822
WBGene00000989	-0.981389916	-6.03E-07	0.001178302
WBGene00000549	-0.879526453	-1.80E-05	0.060104478
WBGene00020596	-0.828525663	-1.30E-05	0.123628262
WBGene00001439	-0.682904599	9.08E-06	0.052234471
WBGene00011300	-1.236559069	-1.19E-05	0.035827707
WBGene00017073	-0.874252378	-8.96E-07	0.004861987
WBGene00003637	-0.852615736	8.37E-06	0.01555494
WBGene00022597	-0.8855471	-7.86E-06	0.076518559
WBGene00000223	-0.816685494	-1.89E-06	0.055302301
WBGene00001037	-0.774598709	-1.68E-05	-0.085247874
WBGene00020585	-0.822626067	-8.52E-06	0.003008363
WBGene00001561	-1.113062558	2.25E-06	0.019397394
WBGene00010480	-0.697102259	-1.35E-05	0.047090569
WBGene00000883	-0.665249718	-1.47E-05	0.085875402
WBGene00019731	-0.739754126	8.47E-08	0.059822154
WBGene00022712	-0.731845725	-8.39E-06	0.009665111
WBGene00004464	-0.883112825	-2.37E-06	0.022924539
WBGene00020036	-0.883112825	-2.37E-06	0.022924539
WBGene00009898	-0.828054342	1.07E-06	0.014557006
WBGene00000465	-1.002523854	5.90E-07	0.070317924
WBGene00007018	-1.330348507	2.00E-06	0.019436885
WBGene00022010	-0.944267171	6.08E-08	0.221047426
WBGene00002010	-0.870690106	-1.47E-05	0.049205674
WBGene00019730	-0.965571162	2.21E-06	-0.002636357
WBGene00007363	-1.007122141	1.68E-06	0.04384011
WBGene00007365	-1.007122141	1.68E-06	0.04384011
WBGene00010055	-0.84777495	-1.02E-05	-0.40686094
WBGene00007018	-1.131965657	7.11E-07	0.024164345
WBGene00016943	-1.131965657	7.11E-07	0.024164345
WBGene00017698	-0.814673666	-1.58E-05	0.135728724
WBGene00004464	-1.10893358	9.03E-08	0.091564799
WBGene00000558	-1.334887986	-3.22E-06	0.02804257
WBGene00013883	-0.907317681	-1.08E-05	-0.051634914
WBGene00008944	-1.742949285	-1.04E-05	0.009868877
WBGene00021369	-1.068802079	2.62E-06	0.018701214
WBGene00003281	-0.666097103	-2.37E-05	0.128618223
WBGene00019895	-0.813916094	8.16E-06	0.199665622
WBGene00008963	-1.164826057	-2.81E-06	0.036260056
WBGene00000114	-0.699616397	-5.87E-06	0.264482951
WBGene00022276	-0.984157927	-1.40E-05	-0.083169176
WBGene00004464	-0.919809331	-1.07E-06	0.090499748
WBGene00022712	-0.6428817	-1.72E-05	0.008069997
WBGene00004208	-0.718134735	1.07E-05	0.772055026
WBGene00008330	-0.664125932	-5.57E-06	-0.005796036
WBGene00011560	-0.863013038	1.57E-07	-0.050251255
WBGene00006237	-1.025914203	4.22E-07	0.07771166
WBGene00020037	-0.996244657	-1.48E-06	0.061897677
WBGene00001439	-0.879196898	1.84E-06	0.123257795
WBGene00012615	-0.945988904	1.58E-06	-0.040417016
WBGene00020917	-0.941713428	6.44E-07	0.017894549
WBGene00002021	-1.013840755	-1.54E-05	0.025572486
WBGene00001404	-0.802180205	-7.89E-06	0.049102501
WBGene00000221	-0.930280196	7.78E-06	0.04288041
WBGene00006947	-0.958274853	-6.40E-06	-0.002896186
WBGene00006833	-0.648236072	-6.48E-06	-0.046060125
WBGene00001439	-0.687717715	5.30E-06	0.107751855
WBGene00016506	-0.939196924	-3.54E-06	-0.019802686
WBGene00000915	-0.857890677	-8.63E-06	0.024543735
WBGene00008143	-0.857890677	-8.63E-06	0.024543735
WBGene00021312	-0.643948093	-5.11E-06	0.001095046
WBGene00003618	-0.680877749	-3.26E-06	0.068371875
WBGene00017698	-0.772889837	-6.93E-06	0.082330373
WBGene00017692	-0.772889837	-6.93E-06	0.082330373
WBGene00007030	-0.625074522	-1.05E-05	-0.035073258
WBGene00011304	-0.640151783	-2.24E-06	0.029494958
WBGene00008742	-0.886936104	3.17E-06	0.06495565
WBGene00017692	-0.874177088	-1.48E-05	0.013205695
WBGene00017698	-0.874177088	-1.48E-05	0.013205695
WBGene00077500	-0.756103823	-1.04E-05	0.025457335
WBGene00010706	-0.700420376	3.45E-06	0.058073236
WBGene00011304	-0.720785037	-4.54E-06	0.030120544
WBGene00007018	-1.162205103	1.37E-06	-0.003040719
WBGene00016943	-1.162205103	1.37E-06	-0.003040719
WBGene00001756	-0.734404466	-1.72E-06	0.133433279
WBGene00000216	-0.901575789	-1.11E-05	0.060079084
WBGene00020909	-0.902498615	1.12E-06	0.046830151
WBGene00018764	-0.726524583	-4.21E-06	0.017515487
WBGene00016376	-0.90820391	-1.54E-06	-0.04559177
WBGene00019719	-0.609563208	-6.58E-07	0.148051481
WBGene00000870	-0.879767401	-2.73E-06	-0.069069591
WBGene00019717	-1.026520688	2.76E-06	-0.016987294
WBGene00011304	-0.735364532	-3.11E-06	0.097387621
WBGene00011733	-0.796537362	7.65E-06	0.127934057
WBGene00006927	-0.895225955	1.45E-06	0.218348125
WBGene00044696	-1.140382936	-1.38E-05	0.007911249
WBGene00000216	-0.983643411	-9.91E-06	0.039397732
WBGene00000282	-0.645430082	-2.29E-05	0.297606055
WBGene00012999	-0.67155252	-5.29E-06	0.01562321
WBGene00011140	-0.705145042	-8.47E-06	-0.074967331
WBGene00012217	-0.705145042	-8.47E-06	-0.074967331
WBGene00007614	-0.877421406	8.37E-06	0.01545604
WBGene00001957	-0.79238604	7.03E-06	0.080977697
WBGene00018602	-0.79238604	7.03E-06	0.080977697
WBGene00012813	-0.59671284	-1.02E-05	0.01320627
WBGene00016027	-0.919893558	1.29E-06	0.000899776
WBGene00012813	-0.913622628	-6.11E-06	0.028669983
WBGene00021369	-1.174041007	3.10E-06	0.029069686
WBGene00000247	-0.736336554	-8.41E-06	0.086880541
WBGene00004116	-0.637843348	-1.38E-06	0.034150854
WBGene00008446	-0.637843348	-1.38E-06	0.034150854
WBGene00000223	-0.791096157	1.14E-06	0.014992691
WBGene00016943	-1.032488864	-2.00E-06	-0.011204334
WBGene00007018	-1.032488864	-2.00E-06	-0.011204334
WBGene00004336	-0.752231297	-5.89E-06	0.142102723
WBGene00003151	-0.718227452	-2.91E-06	-0.039067215
WBGene00020530	-0.749173289	2.89E-06	0.025877394
WBGene00019719	-0.706577558	-4.90E-06	-0.0092158
WBGene00003786	-0.731767911	-2.37E-06	0.238839262
WBGene00016333	-0.61915588	-8.30E-06	0.095378099
WBGene00002096	-0.952411163	7.61E-06	0.018325038
WBGene00015891	-0.952411163	7.61E-06	0.018325038
WBGene00000228	-0.677788893	-1.01E-05	0.364793678
WBGene00017563	-0.587187263	7.32E-06	0.387845658
WBGene00015887	-0.766832655	9.53E-06	-0.011601362
WBGene00023237	-0.766832655	9.53E-06	-0.011601362
WBGene00017295	-0.919047561	-1.67E-07	0.060559055
WBGene00020394	-0.880753642	-5.34E-06	-0.006330012
WBGene00021237	-0.969435718	2.88E-08	0.017211599
WBGene00009101	-0.872480601	3.84E-06	0.050766331
WBGene00009102	-0.872480601	3.84E-06	0.050766331
WBGene00001500	-0.869725722	9.97E-06	0.091247215
WBGene00011304	-0.600191727	-4.17E-06	0.081674994
WBGene00019381	-0.766846637	4.32E-06	0.065186494
WBGene00020068	-0.766846637	4.32E-06	0.065186494
WBGene00003695	-0.890241363	8.60E-07	0.034438619
WBGene00007867	-0.833465095	-4.16E-07	-0.083970839
WBGene00008446	-0.617043341	-4.63E-06	0.066255151
WBGene00012616	-0.67392962	-1.26E-06	0.002049434
WBGene00004336	-0.720846879	-4.29E-06	0.008796607
WBGene00000465	-0.834053757	-2.01E-06	0.005868971
WBGene00000114	-0.795851205	-9.02E-07	0.117560275
WBGene00000114	-0.758830128	-1.29E-06	0.04571876
WBGene00018467	-0.667211921	-3.67E-06	-0.027551415
WBGene00000223	-0.755756721	1.92E-06	0.021815562
WBGene00020674	-1.482487799	1.41E-08	0.007957017
WBGene00007841	-0.659249087	-7.06E-06	-0.082127719
WBGene00020135	-0.541326445	2.05E-06	0.124743046
WBGene00001534	-0.818086043	-1.06E-05	0.074415587
WBGene00002021	-0.818086043	-1.06E-05	0.074415587
WBGene00019719	-0.749169635	-7.04E-07	0.100865031
WBGene00011304	-0.62016905	-1.63E-06	0.022167338
WBGene00007460	-0.82474933	2.09E-06	-0.026679868
WBGene00016877	-0.765770506	-3.77E-06	0.028484051
WBGene00017692	-0.799130632	-1.15E-05	0.059518087
WBGene00017698	-0.799130632	-1.15E-05	0.059518087
WBGene00010125	-0.938534348	4.92E-07	-0.005852118
WBGene00004208	-0.636286999	5.25E-06	0.044968451
WBGene00003163	-0.497961396	-7.17E-06	0.112277591
WBGene00019843	-0.497961396	-7.17E-06	0.112277591
WBGene00011304	-0.518802502	-4.24E-06	0.041393312
WBGene00012180	-0.569788688	-1.72E-05	0.042129285
WBGene00017908	-0.68177844	-4.60E-06	0.010307846
WBGene00010244	-0.57788173	-8.15E-06	-0.260132157
WBGene00009895	-0.985976686	5.33E-06	0.010372166
WBGene00004208	-0.578408791	7.59E-06	0.082478899
WBGene00001030	-0.544589912	-5.87E-06	0.026262157
WBGene00003618	-0.698337425	-4.58E-06	0.016588496
WBGene00022887	-0.620848863	-7.29E-06	0.047996631
WBGene00194658	-0.896272751	5.85E-06	0.241469725
WBGene00009947	-0.909571008	3.19E-07	0.011480358
WBGene00018465	-0.666478852	-5.13E-06	-0.048065085
WBGene00012813	-0.643355571	-1.63E-06	0.197269226
WBGene00016250	-0.823219673	-0.650270806	0.059411651
WBGene00004208	-0.783869657	5.01E-06	0.051649428
WBGene00001439	-0.631324346	2.13E-06	0.100640112
WBGene00008413	-0.71372741	4.33E-06	0.04738899
WBGene00011102	-1.336402743	-6.40E-06	0.027507596
WBGene00008354	-0.674528059	-4.07E-06	-0.257940145
WBGene00003021	-0.96823979	8.48E-06	0.031626011
WBGene00016987	-0.561156331	-1.74E-05	0.04358004
WBGene00017294	-0.747854888	-3.87E-07	0.059508332
WBGene00017297	-0.747854888	-3.87E-07	0.059508332
WBGene00016866	-0.710024955	-2.36E-06	0.084556293
WBGene00001993	-0.677576357	-7.07E-06	-0.070406415
WBGene00086560	-0.652242322	-2.30E-07	0.07473747
WBGene00010244	-0.52340062	-8.58E-06	-0.050183149
WBGene00005304	-0.733652027	-1.73E-06	0.089452069
WBGene00017336	-0.733652027	-1.73E-06	0.089452069
WBGene00001493	-0.636676736	-1.29E-05	0.062411106
WBGene00005202	-0.636676736	-1.29E-05	0.062411106
WBGene00009180	-0.711356338	1.57E-06	0.00779481
WBGene00015891	-0.88467846	4.95E-06	0.03269064
WBGene00015894	-0.88467846	4.95E-06	0.03269064
WBGene00012137	-0.84084624	1.12E-06	-0.044507181
WBGene00044326	-0.743598782	-2.93E-06	-0.008104838
WBGene00000883	-0.533584205	-1.83E-06	0.218038881
WBGene00044500	-0.581581864	4.94E-07	0.155039233
WBGene00015650	-0.535000472	5.43E-06	0.202884077
WBGene00022775	-0.529815428	-5.37E-06	0.023988254
WBGene00012326	-0.592887121	2.08E-06	0.062197015
WBGene00016877	-0.792918409	-1.22E-06	0.060338564
WBGene00015326	-0.491875217	-1.59E-05	-0.108175406
WBGene00004336	-0.618282204	-2.56E-06	0.011316949
WBGene00019717	-0.562552884	6.53E-06	-0.084155823
WBGene00021128	-0.544903135	2.93E-06	0.005602156
WBGene00006603	-0.659538383	-6.50E-06	0.043585456
WBGene00009691	-1.321560472	-1.283577725	0.005288998
WBGene00011043	-0.53887883	-1.04E-05	-0.00086075
WBGene00000169	-0.55491902	-3.44E-06	0.441156786
WBGene00008925	-0.786328938	-3.50E-06	0.087279505
WBGene00018856	-0.648166497	-2.29E-06	0.052404285
WBGene00002010	-1.027238781	-1.01E-05	0.03289022
WBGene00021369	-0.981341957	4.22E-06	0.028907787
WBGene00014029	-0.75660083	-6.47E-06	0.070492053
WBGene00014030	-0.75660083	-6.47E-06	0.070492053
WBGene00000870	-0.789157933	-3.10E-06	-0.118337434
WBGene00000380	-0.501957175	1.67E-06	0.061420648
WBGene00000247	-0.583606341	-1.10E-05	-0.018262533
WBGene00220073	-0.583606341	-1.10E-05	-0.018262533
WBGene00004182	-0.503325201	4.45E-06	0.063007743
WBGene00008412	-0.572887522	4.62E-06	-0.006607283
WBGene00012610	-0.485127262	1.73E-06	-0.224806391
WBGene00017435	-0.514958391	-1.32E-05	-0.165051982
WBGene00014057	-0.76182396	-2.08E-07	0.036654143
WBGene00019831	-0.641790336	-2.02E-06	0.046134141
WBGene00019730	-0.626189165	-4.78E-07	-0.00503564
WBGene00006460	-0.585833932	-4.97E-06	0.015262361
WBGene00044472	-0.788141922	-2.66E-06	0.003620244
WBGene00044292	-0.788141922	-2.66E-06	0.003620244
WBGene00016025	-0.656677219	-4.30E-06	0.041312585
WBGene00016027	-0.656677219	-4.30E-06	0.041312585
WBGene00004804	-0.581492065	-6.15E-06	0.023942161
WBGene00012794	-0.784136716	-3.49E-06	0.003547705
WBGene00009579	-1.224029967	-1.54E-06	0.016917644
WBGene00004096	-1.224029967	-1.54E-06	0.016917644
WBGene00015894	-0.835262982	3.87E-06	0.126451806
WBGene00016987	-0.598538081	-2.25E-05	0.079383268
WBGene00008446	-0.652012167	-1.64E-06	0.050506967
WBGene00011304	-0.698987304	1.84E-07	0.080823513
WBGene00019717	-0.503616043	-3.56E-06	-0.109579554
WBGene00003616	-0.970844252	-7.55E-06	0.122410956
WBGene00000082	-0.970844252	-7.55E-06	0.122410956
WBGene00003163	-0.566361861	-8.84E-07	0.110593957
WBGene00019843	-0.566361861	-8.84E-07	0.110593957
WBGene00003048	-0.426220434	-4.25E-06	-0.028885623
WBGene00019547	-0.895759649	-3.68E-06	0.02644933
WBGene00000082	-1.218585352	-5.62E-06	0.0650659
WBGene00003616	-1.218585352	-5.62E-06	0.0650659
WBGene00012444	-0.897885799	3.35E-07	0.032704325
WBGene00019731	-0.70932122	3.16E-06	0.106664214
WBGene00017565	-0.503038342	1.31E-05	0.140020431
WBGene00011376	-0.599478039	-7.40E-06	0.002511108
WBGene00008780	-0.588626356	3.91E-06	0.005219845
WBGene00009173	-0.588626356	3.91E-06	0.005219845
WBGene00016738	-0.810850869	-1.09E-05	0.021055282
WBGene00000391	-0.810850869	-1.09E-05	0.021055282
WBGene00006996	-0.62999109	-6.54E-06	0.058452748
WBGene00017295	-0.704734042	-3.09E-06	0.083959472
WBGene00021635	-0.561814928	-9.75E-06	-0.283711688
WBGene00006460	-0.523941901	3.94E-07	0.034245169
WBGene00008149	-0.509096026	-9.65E-06	0.082612398
WBGene00016431	-0.746279515	3.09E-06	0.019039822
WBGene00001439	-0.532450392	9.35E-06	0.064654408
WBGene00016987	-0.507369277	-1.34E-05	0.076771154
WBGene00019895	-0.507537405	4.58E-06	0.048562171
WBGene00001551	-0.473482697	-1.60E-05	-0.149546684
WBGene00019318	-0.473482697	-1.60E-05	-0.149546684
WBGene00020301	-0.473482697	-1.60E-05	-0.149546684
WBGene00043302	-0.842557639	-6.10E-07	0.017846958
WBGene00011869	-0.580948809	6.13E-06	-0.012434827
WBGene00194683	-0.580948809	6.13E-06	-0.012434827
WBGene00020909	-0.543394743	-3.37E-06	0.003288321
WBGene00020068	-0.601038624	1.19E-05	0.252861819
WBGene00017698	-0.720414118	-4.41E-06	0.04857158
WBGene00017692	-0.720414118	-4.41E-06	0.04857158
WBGene00019211	-0.519229011	-1.08E-05	0.158469134
WBGene00006923	-0.455938473	3.62E-06	0.045019023
WBGene00003091	-0.769510253	-7.37E-07	0.000801065
WBGene00001649	-0.573493783	-2.77E-06	0.17931569
WBGene00002263	-0.711384732	-6.94E-06	0.605478782
WBGene00001493	-0.601621195	-4.46E-06	0.062979739
WBGene00004835	-0.583657724	-1.29E-06	-0.025439519
WBGene00012130	-0.489262169	4.29E-06	-0.212268946
WBGene00008964	-0.581557689	-1.34E-06	-0.044952138
WBGene00008965	-0.581557689	-1.34E-06	-0.044952138
WBGene00020674	-0.612854598	-2.03E-06	0.017748982
WBGene00001649	-0.679665506	-1.28E-06	0.046564281
WBGene00003476	-0.665974718	-2.59E-06	0.015495685
WBGene00021331	-0.610619149	-9.20E-06	-0.119238398
WBGene00003601	-0.749306957	-3.46E-08	0.171713702
WBGene00006927	-0.717856411	-5.89E-06	0.109084726
WBGene00021597	-0.466187853	1.51E-05	-0.073908939
WBGene00018467	-0.644426491	-4.61E-06	0.007146291
WBGene00018138	-0.860519899	-1.17E-06	-0.035670322
WBGene00003738	-0.651832915	-4.09E-06	0.057223463
WBGene00006310	-0.710126329	7.91E-06	0.03384034
WBGene00017582	-0.757757949	4.63E-07	0.054560917
WBGene00017838	-0.480979713	3.22E-06	0.171532357
WBGene00009902	-0.677670855	5.23E-07	0.001890993
WBGene00008446	-0.44754803	-1.11E-05	0.104152489
WBGene00020135	-0.393384629	7.40E-06	0.154281517
WBGene00013878	-0.42189074	2.69E-07	-0.001503609
WBGene00021532	-0.670455883	4.12E-06	-0.010945558
WBGene00021535	-0.670455883	4.12E-06	-0.010945558
WBGene00021876	-0.381184506	-2.27E-05	-0.104254901
WBGene00010133	-0.630083883	-2.41E-06	0.03563757
WBGene00219283	-0.630083883	-2.41E-06	0.03563757
WBGene00017302	-0.475995616	1.27E-05	0.447069354
WBGene00007366	-0.549366853	9.48E-08	0.004430381
WBGene00007365	-0.549366853	9.48E-08	0.004430381
WBGene00007785	-0.43737833	-2.31E-05	-0.002231072
WBGene00014058	-0.52094022	-9.43E-06	0.074282953
WBGene00009110	-0.443816471	-4.24E-06	-0.124728041
WBGene00015778	-0.443500745	2.40E-06	0.044583568
WBGene00009643	-0.781898687	9.02E-07	0.01992183
WBGene00003081	-0.592244318	3.97E-06	-0.037259393
WBGene00017864	-0.445247713	-5.69E-06	0.155017121
WBGene00006527	-0.633057911	4.56E-06	0.112598295
WBGene00003589	-0.449966987	8.46E-06	0.056243833
WBGene00001042	-0.453829349	-7.98E-06	-0.167701704
WBGene00012326	-0.496266609	1.07E-05	0.099772142
WBGene00002041	-0.633843652	-2.50E-06	0.012733409
WBGene00000223	-0.49640656	-3.30E-06	0.013945884
WBGene00007588	-0.432148524	-8.74E-06	-0.035550832
WBGene00007784	-0.547254045	-1.08E-05	-0.182752421
WBGene00004208	-0.521107901	4.29E-06	0.148840788
WBGene00015400	-0.532432976	1.13E-06	0.032112736
WBGene00013080	-0.531560278	6.79E-06	0.080774432
WBGene00013079	-0.673423917	-3.82E-06	0.04625284
WBGene00019211	-0.556271303	-2.12E-06	0.074439687
WBGene00007352	-0.524143648	3.75E-06	0.199244166
WBGene00011304	-0.524143648	3.75E-06	0.199244166
WBGene00219955	-0.522553913	-1.52E-05	-0.070912553
WBGene00006923	-0.524452131	1.34E-06	-0.000446562
WBGene00019895	-0.559317934	1.04E-05	0.140336926
WBGene00008412	-0.518015195	3.02E-06	0.152120574
WBGene00008411	-0.518015195	3.02E-06	0.152120574
WBGene00021808	-0.476616623	-6.81E-06	0.071711615
WBGene00004414	-0.480931506	9.71E-06	0.033466081
WBGene00007969	-0.480931506	9.71E-06	0.033466081
WBGene00011228	-0.656850938	-3.27E-06	-0.032273172
WBGene00010444	-0.610171776	-4.68E-06	0.006820114
WBGene00009374	-0.489820551	6.16E-06	0.257616582
WBGene00000109	-0.631845847	-3.07E-06	0.026518548
WBGene00008775	-0.631845847	-3.07E-06	0.026518548
WBGene00012999	-0.495697857	-1.25E-07	0.01683511
WBGene00011304	-0.458832433	-4.20E-06	0.076651355
WBGene00004460	-0.637981553	-1.20E-05	0.041061134
WBGene00016250	-0.637981553	-1.20E-05	0.041061134
WBGene00011596	-0.534175524	7.47E-06	-0.024738422
WBGene00011443	-0.48924065	-8.92E-06	-0.055978394
WBGene00014058	-0.497117792	1.11E-06	0.397316861
WBGene00044471	-0.789896561	-1.25E-06	0.03162189
WBGene00044990	-0.617382244	3.08E-06	-0.03954877
WBGene00016987	-0.524987881	-1.91E-05	0.001863709
WBGene00001604	-0.5424156	-7.30E-08	-0.020787993
WBGene00021597	-0.476315955	1.26E-05	-0.090954512
WBGene00019294	-0.446326642	-5.61E-06	0.173113106
WBGene00001439	-0.452849037	-3.19E-06	0.17547389
WBGene00016507	-0.487161869	-1.01E-05	-0.005750245
WBGene00021127	-0.525699904	8.88E-06	0.082517301
WBGene00011849	-0.439900153	-6.33E-06	0.131187751
WBGene00001439	-0.374753995	6.32E-06	0.050814343
WBGene00011376	-0.472993686	-3.64E-06	-0.02609509
WBGene00000872	-0.550086135	8.59E-06	0.041214174
WBGene00015400	-0.608378998	4.80E-07	-0.033284946
WBGene00016333	-0.489841009	-1.62E-06	0.047178895
WBGene00017864	-0.398034493	-1.11E-05	-0.014374315
WBGene00022718	-0.462442677	6.45E-06	0.088273432
WBGene00003336	-0.69312255	-6.19E-06	8.94E-05
WBGene00009819	-0.392320028	3.56E-06	0.126094848
WBGene00000982	-0.620379421	-8.21E-06	0.009683632
WBGene00021167	-0.55523781	-6.23E-07	-0.007726692
WBGene00016877	-0.567816955	-5.44E-06	-0.074667324
WBGene00015381	-0.68079117	-2.24E-07	0.016606822
WBGene00007786	-0.489293915	-9.26E-06	0.032508358
WBGene00010699	-0.489293915	-9.26E-06	0.032508358
WBGene00044210	-0.494410744	1.68E-05	-0.037175057
WBGene00220106	-0.387825079	-2.14E-07	0.054036741
WBGene00002101	-0.387825079	-2.14E-07	0.054036741
WBGene00006928	-0.708151504	-1.04E-06	0.064683575
WBGene00009772	-0.469899945	-1.90E-06	0.131009674
WBGene00022814	-0.48338062	2.16E-06	0.085381035
WBGene00011304	-0.563356349	7.64E-07	0.006417597
WBGene00000380	-0.426763944	-5.18E-06	0.000231864
WBGene00006391	-0.527869512	1.19E-05	0.27841363
WBGene00011733	-0.527869512	1.19E-05	0.27841363
WBGene00000115	-0.484930921	-5.75E-06	-0.052500176
WBGene00016970	-0.511203679	-3.17E-06	0.022238676
WBGene00019304	-0.606083954	-7.23E-07	0.022972044
WBGene00016111	-0.583261475	-3.58E-06	-0.018818331
WBGene00016119	-0.583261475	-3.58E-06	-0.018818331
WBGene00006527	-0.57909083	-4.18E-06	0.100597481
WBGene00021239	-0.447550169	8.90E-06	0.001658903
WBGene00007505	-0.523884778	9.38E-06	-0.044954228
WBGene00009050	-0.383262205	2.95E-06	0.018872699
WBGene00009051	-0.383262205	2.95E-06	0.018872699
WBGene00003815	-0.383262205	2.95E-06	0.018872699
WBGene00019304	-0.407319285	2.36E-06	0.04921706
WBGene00015156	-0.687317093	-3.10E-06	0.033646316
WBGene00008334	-0.698772242	-5.24E-06	0.044775429
WBGene00006928	-0.734812067	-3.08E-06	0.031763302
WBGene00009628	-0.675044048	-1.95E-06	-0.002289423
WBGene00022201	-0.497633989	-5.02E-06	4.41E-05
WBGene00021532	-0.470157892	5.93E-06	0.001298144
WBGene00021535	-0.470157892	5.93E-06	0.001298144
WBGene00018986	-0.479321306	-1.46E-06	0.018817769
WBGene00022712	-0.513983125	-5.08E-06	0.00364121
WBGene00009628	-0.537725348	-5.69E-06	0.000207158
WBGene00022673	-0.498307718	4.64E-06	-0.146701724
WBGene00012444	-0.449368385	-8.09E-06	0.06887242
WBGene00021167	-0.587177584	-2.55E-06	-0.035657775
WBGene00019900	-0.307548958	-8.49E-06	0.02377267
WBGene00010115	-0.646765117	6.54E-07	0.012470518
WBGene00010775	-0.646765117	6.54E-07	0.012470518
WBGene00021533	-0.520014254	2.47E-06	-0.041361425
WBGene00003163	-0.500957987	-4.78E-06	0.140146521
WBGene00008339	-0.487534918	-4.31E-06	0.024697108
WBGene00008330	-0.487534918	-4.31E-06	0.024697108
